term,cat,id,count
владимир путин,2018,5,23
владимир путин,2018,11,23
владимир путин,2018,25,23
владимир путин,2018,33,23
владимир путин,2018,34,23
владимир путин,2018,137,23
владимир путин,2018,153,23
владимир путин,2018,169,23
владимир путин,2018,203,23
владимир путин,2018,212,23
владимир путин,2018,278,23
владимир путин,2018,437,23
владимир путин,2018,484,23
год,2018,5,412
год,2018,6,412
год,2018,11,412
год,2018,12,412
год,2018,14,412
год,2018,15,412
год,2018,17,412
год,2018,18,412
год,2018,19,412
год,2018,22,412
год,2018,23,412
год,2018,24,412
год,2018,25,412
год,2018,26,412
год,2018,27,412
год,2018,31,412
год,2018,33,412
год,2018,34,412
год,2018,37,412
год,2018,38,412
год,2018,39,412
год,2018,40,412
год,2018,41,412
год,2018,42,412
год,2018,134,412
год,2018,135,412
год,2018,136,412
год,2018,145,412
год,2018,148,412
год,2018,151,412
год,2018,152,412
год,2018,159,412
год,2018,162,412
год,2018,169,412
год,2018,171,412
год,2018,172,412
год,2018,173,412
год,2018,176,412
год,2018,178,412
год,2018,179,412
год,2018,180,412
год,2018,182,412
год,2018,183,412
год,2018,184,412
год,2018,185,412
год,2018,186,412
год,2018,187,412
год,2018,189,412
год,2018,190,412
год,2018,191,412
год,2018,196,412
год,2018,197,412
год,2018,199,412
год,2018,202,412
год,2018,205,412
год,2018,207,412
год,2018,208,412
год,2018,211,412
год,2018,212,412
год,2018,214,412
год,2018,216,412
год,2018,217,412
год,2018,218,412
год,2018,219,412
год,2018,220,412
год,2018,221,412
год,2018,230,412
год,2018,232,412
год,2018,233,412
год,2018,234,412
год,2018,241,412
год,2018,245,412
год,2018,247,412
год,2018,250,412
год,2018,251,412
год,2018,252,412
год,2018,254,412
год,2018,255,412
год,2018,258,412
год,2018,260,412
год,2018,262,412
год,2018,263,412
год,2018,264,412
год,2018,265,412
год,2018,266,412
год,2018,268,412
год,2018,270,412
год,2018,272,412
год,2018,274,412
год,2018,277,412
год,2018,278,412
год,2018,337,412
год,2018,437,412
год,2018,481,412
год,2018,482,412
год,2018,484,412
год,2018,485,412
год,2018,486,412
закон,2018,5,133
закон,2018,6,133
закон,2018,9,133
закон,2018,14,133
закон,2018,15,133
закон,2018,20,133
закон,2018,22,133
закон,2018,24,133
закон,2018,27,133
закон,2018,28,133
закон,2018,30,133
закон,2018,31,133
закон,2018,32,133
закон,2018,34,133
закон,2018,35,133
закон,2018,134,133
закон,2018,135,133
закон,2018,138,133
закон,2018,145,133
закон,2018,162,133
закон,2018,164,133
закон,2018,166,133
закон,2018,168,133
закон,2018,173,133
закон,2018,176,133
закон,2018,182,133
закон,2018,183,133
закон,2018,186,133
закон,2018,187,133
закон,2018,188,133
закон,2018,191,133
закон,2018,192,133
закон,2018,196,133
закон,2018,197,133
закон,2018,199,133
закон,2018,200,133
закон,2018,202,133
закон,2018,205,133
закон,2018,206,133
закон,2018,212,133
закон,2018,214,133
закон,2018,215,133
закон,2018,221,133
закон,2018,223,133
закон,2018,234,133
закон,2018,235,133
закон,2018,238,133
закон,2018,246,133
закон,2018,251,133
закон,2018,254,133
закон,2018,256,133
закон,2018,257,133
закон,2018,258,133
закон,2018,266,133
закон,2018,269,133
закон,2018,270,133
закон,2018,273,133
закон,2018,274,133
закон,2018,276,133
закон,2018,278,133
закон,2018,337,133
закон,2018,484,133
запрет,2018,5,27
запрет,2018,8,27
запрет,2018,21,27
запрет,2018,24,27
запрет,2018,41,27
запрет,2018,135,27
запрет,2018,152,27
запрет,2018,163,27
запрет,2018,176,27
запрет,2018,183,27
запрет,2018,185,27
запрет,2018,215,27
запрет,2018,216,27
запрет,2018,220,27
запрет,2018,250,27
запрет,2018,251,27
запрет,2018,266,27
запрет,2018,271,27
законопроект,2018,5,97
законопроект,2018,6,97
законопроект,2018,10,97
законопроект,2018,15,97
законопроект,2018,16,97
законопроект,2018,20,97
законопроект,2018,21,97
законопроект,2018,22,97
законопроект,2018,24,97
законопроект,2018,25,97
законопроект,2018,27,97
законопроект,2018,28,97
законопроект,2018,30,97
законопроект,2018,35,97
законопроект,2018,134,97
законопроект,2018,136,97
законопроект,2018,138,97
законопроект,2018,140,97
законопроект,2018,141,97
законопроект,2018,152,97
законопроект,2018,162,97
законопроект,2018,168,97
законопроект,2018,172,97
законопроект,2018,173,97
законопроект,2018,183,97
законопроект,2018,190,97
законопроект,2018,193,97
законопроект,2018,194,97
законопроект,2018,195,97
законопроект,2018,198,97
законопроект,2018,200,97
законопроект,2018,202,97
законопроект,2018,212,97
законопроект,2018,215,97
законопроект,2018,216,97
законопроект,2018,224,97
законопроект,2018,226,97
законопроект,2018,237,97
законопроект,2018,238,97
законопроект,2018,251,97
законопроект,2018,257,97
законопроект,2018,258,97
законопроект,2018,262,97
законопроект,2018,269,97
законопроект,2018,337,97
законопроект,2018,482,97
законопроект,2018,483,97
возможность,2018,5,77
возможность,2018,7,77
возможность,2018,12,77
возможность,2018,14,77
возможность,2018,15,77
возможность,2018,24,77
возможность,2018,27,77
возможность,2018,39,77
возможность,2018,40,77
возможность,2018,133,77
возможность,2018,135,77
возможность,2018,150,77
возможность,2018,151,77
возможность,2018,169,77
возможность,2018,171,77
возможность,2018,174,77
возможность,2018,175,77
возможность,2018,182,77
возможность,2018,183,77
возможность,2018,184,77
возможность,2018,187,77
возможность,2018,191,77
возможность,2018,201,77
возможность,2018,205,77
возможность,2018,215,77
возможность,2018,220,77
возможность,2018,221,77
возможность,2018,231,77
возможность,2018,232,77
возможность,2018,243,77
возможность,2018,244,77
возможность,2018,246,77
возможность,2018,247,77
возможность,2018,252,77
возможность,2018,254,77
возможность,2018,262,77
возможность,2018,266,77
возможность,2018,267,77
возможность,2018,270,77
возможность,2018,274,77
возможность,2018,275,77
возможность,2018,278,77
возможность,2018,437,77
возможность,2018,484,77
